timestamp,acceleration,pressure,model_velocity,stages,model_displacement,barometer_height,true_displacement,true_velocity
5.616,0.001051361553933828,98.404,-0.0033222391843502636,0,-0.03200621275353295,0.45560899295358087,0.0863879245192335,-0.004168312243428457
5.72,0.001293840721862054,98.402,-0.0032002886660088773,0,-0.03234538420175163,0.4700026276917197,0.08849315729631026,-0.0040726531813369896
5.824,0.0010422410172239262,98.4,-0.003078812415576406,0,-0.032671897457994065,0.5124360125984966,0.09091035207382005,-0.0039744342059795336
5.928,0.0010522310885768425,98.396,-0.0029698998660747655,0,-0.03298643049663993,0.6116694926795703,0.09412956823570039,-0.0038751314351984215
6.032,0.0014283500967185428,98.403,-0.0028409096444394055,0,-0.03328859259118667,0.5884843812602609,0.09703683085725925,-0.003772906673870596
6.136,0.0010819592690004126,98.406,-0.0027103735574220194,0,-0.03357725931768346,0.5176661043680337,0.09923837150210524,-0.0036679100420785203
6.24,0.001261320906461893,98.408,-0.0025885229882979793,0,-0.0338528019380609,0.4202573320070002,0.10054462070554357,-0.003561280532963324
6.344,0.0013753386618346121,98.407,-0.002451416690746561,0,-0.03411487880137122,0.3470318567481488,0.10120370425549612,-0.0034516653282589114
6.448,0.0015781068567267205,98.407,-0.002297837523781372,0,-0.034361840020526675,0.28075189328629707,0.1013063878717694,-0.003337730373175072
6.552,0.0015812207224275166,98.411,-0.002133552489665353,0,-0.034592272301225906,0.1582408415009805,0.10042768528505164,-0.0032188621743358286
6.656,0.0012799703606686716,98.407,-0.0019847705533443507,0,-0.03480642509946241,0.11199213414326871,0.0992191104813929,-0.003097054561468141
6.76,0.001465263849554964,98.403,-0.0018420183744127213,0,-0.03500541812370578,0.1351299090777321,0.09823841156160514,-0.0029731714816601125
6.864,0.0012536450795633865,98.404,-0.0017006351100985672,0,-0.03518963610490036,0.14208190602115367,0.09735104591329265,-0.0028475580876674636
6.968,0.0014749501686574058,98.412,-0.001558748157191086,0,-0.035359124034799426,0.023699882331605776,0.09560380024888016,-0.0027203744524503747
7.072,0.001302220142745986,98.393,-0.0014143353009981093,0,-0.035513724374625265,0.21817898415462655,0.0953710022218893,-0.002591428364022047
7.183,0.001522420027347541,98.401,-0.0012575677715579194,0,-0.035662014995152126,0.2693976077025789,0.09551683510721098,-0.00245809086340971
7.287,0.0013319672726338045,98.39,-0.0011091396319588892,0,-0.035785083780135,0.4907458752302917,0.09729222031604837,-0.002323486025465645
7.391,-0.0003543894431526583,98.396,-0.0010583055848258699,0,-0.03589779093140781,0.5934803160820575,0.09975485171551823,-0.002197439842939153
7.495,0.0025166691268229497,98.405,-0.0009458670412750142,0,-0.03600200790796506,0.5410372287833902,0.1017880927142932,-0.0020729556031802146
7.599,0.0023235818465266143,98.403,-0.0006941739906608365,0,-0.036087290041625725,0.5230566756772094,0.10366151373916586,-0.0019360049350612713
7.703,0.002138901550583733,98.402,-0.00046212485401109834,0,-0.036147417581548665,0.5208178445519623,0.10548891270370017,-0.0017897632637443755
