,Unnamed: 0,timestamp,acceleration,pressure,velocity
78,78,0.013423000000000001,0.019189641028895248,100.398,-0.00042679288806547424
79,79,0.013631,0.01874782437933319,100.399,-0.0004228473916630185
80,80,0.013839,0.018276876080974183,100.4,-0.0004189968228151465
81,81,0.013942999999999999,0.01768129300414529,100.391,-0.0004171269980227203
82,82,0.014151,0.01737243247086514,100.401,-0.0004134814105733192
83,83,0.014359,0.01711291504366672,100.393,-0.0004098949344318079
84,84,0.014462999999999998,0.01673417235029384,100.399,-0.000408134885887322
85,85,0.014671,0.016659120573010038,100.395,-0.00040466198342329837
86,86,0.014775,0.016429109602684847,100.401,-0.00040294139545416223
87,87,0.014983,0.01648554552977541,100.394,-0.00039951827132038637
88,88,0.015191000000000001,0.016590782521459402,100.396,-0.00039607833320305793
