timestamp,acceleration,pressure,model_displacement,model_velocity,barometer_height,true_displacement,true_velocity,barometer_levels,stages
9.88,0.43292272,102.249,0.04398744912080487,0.2138557172976438,0.285901161419076,0.13540885750752202,0.0396446207482692,0.0,1.0
9.984,0.44931844,102.254,0.06861402373494212,0.25973225605115297,0.357297126680522,0.15878603789050558,0.06942988141592213,0.0,1.0
10.088,0.46182346,102.263,0.09808990598724762,0.3071116334162649,0.3522191071182005,0.18283301667891955,0.097164463663895,0.0,1.0
10.192,0.4709518,102.258,0.13255174016292404,0.3556159468851985,0.38260363912975226,0.2111236976748112,0.12706416134391219,0.0,1.0
10.296,0.4645658,102.25,0.17206543825404325,0.4042628625594077,0.4656749274536574,0.2482924473571351,0.16376616322850568,0.0,1.0
10.4,0.4320003,102.257,0.2165330908367785,0.450884302493185,0.4856477778384938,0.2877882080896756,0.19921555501390315,0.0,1.0
10.504,0.38914108,102.249,0.26564542453943174,0.4935836533270775,0.5585584774768069,0.33425827878854947,0.23841028698078212,0.0,1.0
10.608,0.3321452,102.244,0.3189284826321158,0.5310905407629909,0.6559011542348802,0.38912493865760567,0.28211009302293755,0.0,1.0
10.816,0.24800198,102.25,0.43567018729938617,0.5914258502684536,0.7223478334922302,0.4854230137223042,0.34080824471897225,0.0,1.0
10.92,0.17844301,102.24,0.49833158302710956,0.6136009906493128,0.8253889842628347,0.5579810767276612,0.3954251946881461,0.0,1.0
11.128,0.09660351,102.253,0.6289354923223706,0.6422058294974269,0.8207761830964426,0.6691140952512392,0.44287057184385803,0.0,1.0
11.232,0.049868494,102.24,0.6961209588971283,0.6498223738633097,0.8977219870258064,0.7401690809750043,0.48173335139689133,0.0,1.0
11.336,0.015300299,102.239,0.7638787021884772,0.65321115097031,0.9641432487222266,0.8111728955989947,0.513112594551484,0.0,1.0
11.44,-0.0114542125,102.225,0.8318230617074517,0.6534111474715174,1.125730603192153,0.8920847450524245,0.5494144864865129,0.0,1.0
11.544,-0.04083428,102.252,0.8996364329539989,0.6506921457313002,1.0493241025559117,0.9569973471631341,0.562325502582972,0.0,1.0
11.648,-0.06773455,102.237,0.9670148459875731,0.6450465664528311,1.093456870956912,1.0205117095668317,0.5713106351072016,0.0,1.0
11.752,-0.09814204,102.24,1.0336511585799313,0.6364209834001958,1.105534363573889,1.0796028559806223,0.5737500285921742,0.0,1.0
11.856,-0.14656703,102.245,1.0991772475161106,0.6236961115263403,1.0757317723634385,1.130760482340814,0.5668265034204467,0.0,1.0
11.96,-0.18800937,102.249,1.1631369485342955,0.6062981388233601,1.0174661790795188,1.1722037882210452,0.5499209608634779,0.0,1.0
12.064,-0.24211192,102.239,1.2250289069696814,0.5839318310879172,1.036671538701257,1.2120948633655935,0.5329908473963403,0.0,1.0
12.168,-0.28916535,102.24,1.2843212435865248,0.5563054115436975,1.0443957041308085,1.249264115246937,0.5145857898202505,0.0,1.0
12.272,-0.33153966,102.233,1.3404986200440676,0.524028751101345,1.1000335285258656,1.2880469159759058,0.49933922872214453,0.0,1.0
12.376,-0.36567685,102.227,1.3931123367134777,0.48777349254116453,1.190395785445551,1.3310006885684098,0.4893416538319767,0.0,1.0
12.48,-0.38594684,102.235,1.4418083894796523,0.4486890606544912,1.2089685582178025,1.3707658223498247,0.475884917603859,0.0,1.0
12.584,-0.39442307,102.227,1.4863619316381067,0.4081098270080987,1.2801512944336324,1.4120114018271357,0.4643997744225001,0.0,1.0
12.688,-0.3932694,102.233,1.5266754333226238,0.3671498207710683,1.2957171014690536,1.4492117382624796,0.44870025323101426,0.0,1.0
12.792,-0.38041693,102.246,1.5627669669552298,0.3269181337021294,1.2115067199476035,1.473567047457376,0.42007209544950064,0.0,1.0
12.896,-0.35708532,102.232,1.5947722468646919,0.2885680184029042,1.23652654123884,1.4960113193882782,0.39218568537567694,0.0,1.0
13.0,-0.32778212,102.223,1.6229314392163607,0.2529549114368858,1.321942076352725,1.5220242147709286,0.37088793409593607,0.0,1.0
13.104,-0.29429725,102.226,1.647556647382811,0.22060678407177375,1.3727947551137505,1.5480499800433205,0.351527824396437,0.0,1.0
13.208,-0.25789025,102.228,1.6690066379198287,0.19189303394779583,1.3999319715069924,1.571895029920502,0.3316181824978561,0.0,1.0
13.312,-0.22238597,102.246,1.6876648465325985,0.1669186701439325,1.2900830323440953,1.5815679365182052,0.29858509763992325,0.0,1.0
13.416,-0.18719251,102.226,1.7039168879576778,0.1456205880306663,1.3364417854763155,1.5925478832609046,0.271081291057336,0.0,1.0
13.52,0.42479396,102.251,0.033797858667522176,0.1972704852856685,0.18392900173687657,0.08721243336850337,0.06651691045599929,0.0,1.0
13.624,-0.1255412,102.228,1.7306793665039992,0.11331387075409312,1.3937929702332152,1.6147414768190387,0.22614673835738144,0.0,1.0
13.728,-0.09923529,102.227,1.74185621346964,0.10162549396976855,1.414921547979741,1.6246605372790734,0.20668474932567057,0.0,1.0
13.832,-0.07662575,102.232,1.7519497366151668,0.0924807203672828,1.3952024928665934,1.6305423400200014,0.18548093998912307,0.0,1.0
13.936,-0.057633284,102.235,1.7612046951156415,0.08549925079569243,1.3543980485545288,1.6310997491391406,0.16150815108639027,0.0,1.0
14.04,-0.042065002,102.23,1.7698270330216146,0.0803149397037926,1.353618695164003,1.6306518687562455,0.13986915335199374,0.0,1.0
14.144,-0.029799405,102.243,1.77798546538283,0.07657799031958007,1.2581590290331544,1.6211000106293,0.11161688671693548,0.0,1.0
14.255,-0.02011325,102.227,1.7863318788562406,0.07380783803015968,1.2903712107739167,1.615456281551003,0.09079299014886852,0.0,1.0
14.359,-0.013442183,102.238,1.7939171601201285,0.07206295550614618,1.2388784864714746,1.6049670355791281,0.06872189667983233,0.0,1.0
14.463,-0.009490695,102.238,1.8013496969912934,0.07087044586241269,1.1944411363279945,1.5916968047966653,0.04698021251496487,0.0,1.0
14.567,-0.007300007,102.234,1.8086748213002373,0.06999732930958294,1.1857779585322765,1.5793563701972393,0.029489822930372125,0.0,1.0
14.671,0.00084989425,102.225,1.8159371024431277,0.06966192343831086,1.2449197615084806,1.5740915582063857,0.022187946012584912,0.0,1.0
14.775,0.006795585,102.229,1.823202615857019,0.07005948836728955,1.2685539382408317,1.5720924513370935,0.019490672444713725,0.0,1.0
14.879,0.010928844,102.237,1.83053672950141,0.0709811586402359,1.2314146367016956,1.567651932934227,0.014628597902569672,0.0,1.0
14.983,0.013664824,102.24,1.837985271278425,0.07226002937927867,1.1773320833873067,1.5595832619731615,0.006675243589467722,0.0,1.0
15.087,0.01480526,102.242,1.8455772974411984,0.07374047375097895,1.1162047322110245,1.5477349318941682,-0.0040575993183348535,0.0,1.0
15.191,0.015146959,102.234,1.8533272975108166,0.07529798912629511,1.121937103797046,1.5385757528219686,-0.010241413818432021,0.0,1.0
15.295,0.014775355,102.236,1.8612391983169754,0.07685394945368196,1.1141927820690363,1.5307195848803081,-0.014041751526227116,0.0,1.0
15.399,0.013874087,102.24,1.8693094771510501,0.07834372043237114,1.07993727793158,1.5217348007221618,-0.018416934440332204,0.0,1.0
15.503,0.0125061935,102.226,1.8775285563532254,0.07971549499407436,1.152803066198591,1.5213216054819503,-0.01292514398567289,0.0,1.0
15.607,0.010538767,102.23,1.8858812814059993,0.08091383294388677,1.1889224376914709,1.5253030569554262,-0.003519976177394739,0.0,1.0
15.815,0.010275844,102.232,1.902936489487066,0.08307855245098497,1.210357439048755,1.5340336867147588,0.011752389673109001,0.0,1.0
15.919,0.0069876797,102.227,1.911623339511498,0.08397625571116832,1.268211139227502,1.5486284048987555,0.030115475697204887,0.0,1.0
16.023,0.0046926467,102.225,1.9203884537081115,0.08458363268524435,1.3303481272159399,1.568053793897877,0.050494715890073816,0.0,1.0
16.127,0.002557356,102.231,1.9292047555143677,0.08496063281968262,1.3342041979173662,1.585689626224354,0.06549498259147529,0.0,1.0
16.231,0.0002642693,102.226,1.9380482910021837,0.08510735733062055,1.374065035326519,1.605252300356454,0.08011131285722979,0.0,1.0
